"point_id","date","studyarea","time","lat","long","response","nudds","perc_bare","perc_ll","perc_grass","perc_forb","perc_vine","perc_Rubus"
"bird638_14_june","14_jun","moshannon",1859,40.85685,-78.07349,1,0,0,85,0,0,0,0
"bird638_14_june","14_jun","moshannon",1859,40.85504,-78.074193,0,18,30,50,0,0,0,0
"bird638_16_june","16_jun","moshannon",1900,40.8590063,-78.074465,1,20,0,5,0,15,0,0
"bird638_16_june","16_jun","moshannon",1900,40.85816,-78.07745,0,0,5,0,15,80,0,0
"bird638_22_june","22_jun","moshannon",1731,40.860215,-78.075629,1,20,0,0,0,0,0,0
"bird638_22_june","22_jun","moshannon",1731,40.86161,-78.07499,0,20,0,95,0,0,0,0
"bird638_26_june","26_jun","moshannon",2118,40.858856,-78.074937,1,20,0,0,0,0,0,0
"bird638_26_june","26_jun","moshannon",2118,40.859011,-78.074766,0,6,0,0,10,70,0,0
"bird638_1_july","1_jul","moshannon",1949,40.861838,-78.077575,1,19,5,85,0,5,0,0
"bird638_1_july","1_jul","moshannon",1949,40.86205,-78.07502,0,6,0,85,0,0,0,0
"bird638_3_july","3_jul","moshannon",1919,40.863062,-78.078485,1,10,0,90,0,0,0,0
"bird638_3_july","3_jul","moshannon",1919,40.86298,-78.08022,0,20,0,20,0,0,0,0
"bird638_4_july","4_jul","moshannon",1917,40.86067,-78.075551,1,9,0,90,0,0,0,0
"bird638_4_july","4_jul","moshannon",1917,40.86001,-78.0759,0,20,0,60,0,20,0,0
"bird638_5_july","5_jul","moshannon",2110,40.859747,-78.073901,1,0,0,10,0,20,0,0
"bird638_5_july","5_jul","moshannon",2110,40.859255,-78.075495,0,0,0,65,5,15,0,0
"bird638_6_july","6_jul","moshannon",1859,40.86233,-78.07615,1,7,0,90,0,5,0,0
"bird638_6_july","6_jul","moshannon",1859,40.86257,-78.07642,0,11,0,0,0,75,0,0
"bird638_8_july","8_jul","moshannon",1927,40.863216,-78.078188,1,7,0,80,5,5,0,0
"bird638_8_july","8_jul","moshannon",1927,40.86356,-78.07799,0,20,0,85,0,0,0,0
"bird703_11_june","11_jun","moshannon",1904,40.852027,-78.115875,1,5,0,95,0,0,0,0
"bird703_11_june","11_jun","moshannon",1904,40.842362,-78.115173,0,20,0,50,0,10,0,30
"bird703_12_june","12_jun","moshannon",1736,40.843542,-78.115878,1,8,0,75,0,0,0,0
"bird703_12_june","12_jun","moshannon",1736,40.84369,-78.11742,0,11,0,50,0,0,0,0
"bird703_20_june","20_jun","moshannon",1801,40.84283,-78.1162,1,20,0,10,25,0,0,30
"bird703_20_june","20_jun","moshannon",1801,40.843542,-78.114966,0,20,0,55,0,0,0,0
"bird703_21_june","21_jun","moshannon",2031,40.84369,-78.11607,1,8,0,90,0,0,0,0
"bird703_21_june","21_jun","moshannon",2031,40.84485,-78.11539,0,4,0,0,0,0,0,0
"bird703_22_june","22_jun","moshannon",1610,40.843683,-78.116186,1,4,5,80,5,0,0,0
"bird703_22_june","22_jun","moshannon",1610,40.843034,-78.119258,0,0,0,0,80,20,0,0
"bird703_27_june","27_jun","moshannon",1654,40.844414,-78.113468,1,16,0,70,0,0,0,0
"bird703_27_june","27_jun","moshannon",1654,40.843871,-78.112632,0,6,0,75,0,0,0,0
"bird703_2_july","2_jul","moshannon",1711,40.84258,-78.11455,1,20,0,60,0,0,0,0
"bird703_2_july","2_jul","moshannon",1711,40.841845,-78.113275,0,20,0,0,0,0,0,100
"bird703_3_july","3_jul","moshannon",1821,40.839568,-78.114548,1,20,0,0,0,0,0,0
"bird703_3_july","3_jul","moshannon",1821,40.839454,-78.114848,0,20,0,60,0,0,0,0
"bird703_3_july","3_jul","moshannon",2130,40.843471,-78.111653,1,20,0,25,0,5,0,0
"bird703_3_july","3_jul","moshannon",2130,40.842318,-78.112852,0,20,0,0,0,0,0,0
"bird703_8_july","8_jul","moshannon",1642,40.83958,-78.11459,1,20,0,0,0,0,0,0
"bird703_8_july","8_jul","moshannon",1642,40.839495,-78.11483,0,7,0,85,0,0,0,0
"bird703_8_july","8_jul","moshannon",2131,40.842148,-78.111199,1,20,0,55,0,0,0,0
"bird703_8_july","8_jul","moshannon",2131,40.842156,-78.110778,0,18,0,0,0,0,0,0
"bird703_10_july","10_jul","moshannon",2152,40.843652,-78.112896,1,20,0,60,0,0,0,0
"bird703_10_july","10_jul","moshannon",2152,40.84351,-78.11311,0,10,0,0,0,20,0,0
"bird703_11_july","11_jul","moshannon",1957,40.84459,-78.113435,1,15,0,80,0,0,0,0
"bird703_11_july","11_jul","moshannon",1957,40.843795,-78.114518,0,20,0,60,0,0,0,0
"bird703_12_july","12_jul","moshannon",1534,40.83958,-78.11459,1,20,0,0,0,0,0,0
"bird703_12_july","12_jul","moshannon",1534,40.839895,-78.11348,0,20,0,0,0,0,0,0
"bird703_12_july","12_jul","moshannon",2133,40.84344,-78.11471,1,5,0,30,0,5,0,10
"bird703_12_july","12_jul","moshannon",2133,40.8434,-78.118308,0,12,10,45,10,10,0,0
"bird703_13_july","13_jul","moshannon",1542,40.84344,-78.11471,1,20,0,0,0,0,0,0
