"point_id","BasalArea","AvgNoSmStem","AvgNoMedStem","AvgNoLgStem"
1,40,0,1,20
2,20,21,47,28
3,20,136,46,42
4,10,0,0,0
5,10,17,10,78
6,0,1,1,72
7,20,1,14,57
8,10,2,5,33
9,20,0,3,59
10,20,0,0,60
11,10,0,3,83
12,20,35,16,48
13,20,2,4,78
14,20,2,4,71
15,10,10,13,12
16,10,6,2,28
17,10,0,0,60
18,10,7,4,55
19,20,0,1,56
20,10,11,7,75
21,20,7,14,25
22,20,0,4,37
23,20,23,7,36
24,50,14,17,14
25,30,13,21,54
26,30,30,21,63
27,30,10,19,14
28,10,0,1,26
29,40,9,20,28
30,20,1,2,7
31,30,56,28,63
32,10,9,32,104
33,50,55,12,45
34,10,30,38,54
35,10,12,19,54
36,10,3,11,31
37,20,6,9,40
38,20,77,20,26
39,10,12,19,54
40,30,9,16,29
41,10,65,91,35
42,20,40,76,25
43,10,91,92,45
44,10,4,4,17
45,30,50,24,61
46,10,29,27,95
47,10,12,19,53
48,20,29,47,12
49,20,8,8,37
50,40,16,14,41
51,10,12,19,54
52,30,50,7,29
53,20,91,33,125
54,20,6,7,54
55,40,37,29,49
56,30,11,3,45
57,30,48,32,22
58,40,41,63,30
59,10,26,5,43
60,10,5,40,72
61,10,6,6,56
62,20,6,1,56
63,20,14,10,28
64,20,1,7,67
65,40,14,12,23
66,10,14,8,70
67,30,11,8,18
68,30,3,0,18
69,20,1,2,2
70,40,14,6,26
71,10,4,8,63
72,40,10,13,15
73,10,6,6,56
74,0,2,2,28
75,0,0,3,45
76,0,5,9,69
77,10,26,5,43
78,10,12,8,74
79,40,2,1,31
80,40,17,15,17
81,0,0,0,9
82,30,1,4,29
83,0,7,3,47
84,10,13,7,63
85,20,6,21,87
86,20,0,0,0
87,10,7,12,80
88,20,5,31,109
89,40,43,27,64
90,40,0,10,35
91,30,28,8,43
92,20,1,1,53
93,10,2,2,14
94,10,7,7,37
95,10,13,31,58
96,20,5,29,63
97,10,1,15,73
98,0,52,8,4
99,20,40,19,59
100,10,70,27,33
101,20,40,19,56
102,30,0,2,16
103,30,18,8,56
104,30,1,4,40
105,20,13,12,28
106,50,1,4,17
107,20,39,17,59
108,30,7,17,32
109,20,31,49,77
110,40,0,1,7
111,20,4,3,19
112,10,20,13,60
113,20,8,23,57
114,30,17,19,23
115,40,1,1,11
116,30,17,19,22
117,30,7,5,10
118,10,6,12,46
119,10,0,4,43
120,20,13,11,27
121,0,50,24,35
122,20,40,19,59
123,30,13,10,34
124,20,10,34,80
125,20,27,48,74
126,20,6,21,87
127,10,0,3,36
128,20,8,9,59
129,30,0,2,52
130,10,12,5,38
131,10,16,15,35
132,10,9,11,84
133,30,17,15,65
134,10,53,76,43
135,0,2,6,47
136,10,181,42,72
137,20,13,18,46
138,20,15,23,64
139,10,97,79,50
140,20,101,82,52
141,20,255,46,9
142,30,174,54,50
143,10,53,32,49
144,0,35,89,27
145,10,35,52,32
146,30,14,11,33
147,10,132,78,50
148,30,170,54,50
149,10,186,117,74
150,20,163,113,46
151,10,12,8,85
152,10,252,55,41
153,10,33,14,43
154,20,58,11,47
155,30,10,5,27
156,40,14,21,42
157,30,8,18,48
158,20,58,52,30
159,20,9,10,34
160,20,25,41,34
161,40,14,13,48
162,20,35,26,58
163,20,26,14,64
164,20,208,35,46
165,10,271,36,57
166,40,185,35,12
167,20,27,42,43
168,20,96,61,39
169,30,32,32,44
170,20,17,20,17
171,20,15,8,60
172,10,181,42,72
173,10,26,61,45
174,10,54,89,40
175,0,3,6,31
176,20,122,86,42
177,10,160,34,46
178,20,56,26,80
179,20,32,15,28
180,20,173,113,46
181,10,46,13,21
182,30,3,3,11
183,30,15,38,62
184,10,99,53,76
185,20,102,28,32
186,0,188,67,68
187,30,38,164,33
188,20,48,66,49
189,20,38,28,52
190,40,31,30,46
191,30,2,8,43
192,10,35,22,38
193,20,4,4,22
194,10,120,24,47
195,20,187,51,33
196,20,7,6,53
197,0,3,4,27
198,10,13,39,40
199,20,0,1,13
200,10,62,54,50
201,20,209,88,26
202,20,23,10,59
203,10,0,8,58
204,20,117,44,30
205,10,91,46,15
206,20,1,11,40
207,40,0,2,17
208,20,1,11,40
209,30,0,0,67
210,10,136,82,45
211,10,170,43,54
212,20,10,2,2
213,30,56,24,23
214,10,0,0,1
215,10,90,29,31
216,20,7,7,47
217,30,11,17,39
218,20,7,10,37
219,20,3,7,37
220,20,15,5,30
221,10,5,9,48
222,20,0,0,0
223,10,74,37,24
224,30,3,6,16
225,30,10,7,56
226,0,3,7,56
227,30,0,0,56
228,30,8,7,30
229,30,7,0,12
230,30,8,7,30
231,30,0,0,11
232,30,1,9,27
233,20,0,4,58
234,20,68,59,53
235,10,12,15,43
236,10,103,24,63
237,20,0,0,0
238,20,94,1,77
239,20,80,41,17
240,30,22,38,57
241,20,110,66,27
242,30,13,48,49
243,10,78,15,23
244,30,32,24,38
245,20,13,4,15
246,30,11,16,60
247,30,13,9,44
248,20,11,13,72
249,20,1,0,13
250,30,0,2,25
251,30,64,47,46
252,30,50,227,46
253,10,43,36,59
254,20,133,30,41
255,10,11,10,57
256,30,15,15,78
257,10,0,0,67
258,20,0,2,36
259,30,0,1,28
260,30,46,32,19
261,20,34,114,22
262,30,0,0,41
263,20,0,1,21
264,0,0,0,41
265,10,7,0,0
266,20,0,1,37
267,30,0,0,25
268,10,0,1,40
269,10,2,2,42
270,10,75,34,30
271,20,0,2,53
272,30,1,2,39
273,30,0,1,27
274,20,10,17,98
275,20,1,1,46
276,10,20,4,5
277,20,28,11,11
278,20,43,27,32
279,20,123,5,8
280,0,77,51,10
281,20,60,24,9
282,20,60,35,17
283,30,113,19,6
284,30,36,44,10
285,10,148,23,6
286,30,85,62,15
287,10,110,32,18
288,40,117,24,16
289,20,67,27,39
290,10,116,28,14
291,30,74,11,30
292,40,49,41,27
293,20,105,26,7
294,10,36,9,55
295,10,134,14,26
296,10,78,9,9
297,10,52,19,12
298,30,90,8,7
299,50,78,43,19
300,0,38,34,5
301,20,78,29,0
302,10,44,39,23
303,30,21,16,19
304,10,30,53,22
305,20,67,39,16
306,40,10,1,17
307,40,97,23,14
308,40,75,59,24
309,10,222,17,15
310,20,92,24,17
311,50,110,27,48
312,30,106,70,38
313,40,61,55,49
314,20,10,3,4
315,30,32,54,10
316,20,74,34,12
317,20,14,0,21
318,40,30,6,11
319,20,77,7,4
320,20,81,21,4
321,30,114,16,3
322,20,38,22,17
323,40,73,16,9
324,0,8,0,12
325,30,24,3,13
326,10,95,12,19
327,20,132,19,12
328,20,138,31,47
329,20,89,0,4
330,20,75,1,6
331,10,45,15,88
332,10,45,33,24
333,20,73,68,12
334,0,128,19,1
335,30,72,9,14
336,10,104,9,4
337,40,13,12,20
338,10,126,8,2
339,50,4,10,4
340,40,22,0,0
341,0,44,3,4
342,30,79,15,26
343,10,72,30,22
344,30,167,7,8
345,30,64,4,20
346,20,73,15,13
347,10,136,62,5
348,10,159,32,29
349,20,207,22,0
350,30,66,6,33
351,20,37,20,35
352,50,76,18,17
353,20,94,82,21
354,30,41,20,11
355,20,98,31,14
356,20,97,23,13
357,10,23,31,32
358,20,22,2,31
359,30,98,25,15
360,20,103,3,2
361,20,58,67,22
362,20,92,35,12
363,20,52,25,33
364,20,40,19,3
365,20,100,24,13
366,30,53,26,24
367,40,66,15,18
368,50,29,14,14
369,50,140,35,25
370,20,45,18,18
371,40,53,10,11
372,10,32,14,10
373,40,100,7,7
374,20,90,103,9
375,40,90,11,39
376,30,98,28,29
377,30,114,35,26
378,40,82,60,39
379,40,76,58,35
380,20,77,10,19
381,30,122,3,1
382,10,60,16,8
383,20,93,21,13
384,0,107,46,14
385,40,72,29,6
386,30,111,12,13
387,10,112,15,15
388,30,54,23,22
389,10,60,7,20
390,30,57,17,25
391,30,54,19,20
392,30,129,8,18
393,20,26,15,41
394,30,30,9,31
395,40,107,7,9
396,50,10,1,22
397,40,11,5,11
398,20,58,35,15
399,10,104,33,24
400,20,40,15,17
401,30,59,23,18
402,20,57,4,10
403,30,47,27,15
404,50,98,20,13
405,10,139,10,16
406,30,53,24,12
407,30,103,30,15
408,30,33,26,14
409,30,91,13,43
410,30,62,39,23
411,10,32,22,37
412,20,89,25,13
413,40,125,14,6
414,30,110,41,26
415,30,15,9,12
416,40,22,13,11
417,30,18,10,35
418,20,22,28,16
419,40,53,36,50
420,20,47,36,52
421,30,56,21,29
422,10,99,40,7
423,20,77,13,18
424,20,77,13,18
425,20,70,17,22
426,30,74,5,22
427,20,46,55,20
428,10,74,19,23
429,20,57,20,11
430,30,36,9,44
431,30,22,7,44
432,10,104,31,20
433,30,14,1,25
434,30,34,3,37
435,10,72,20,13
436,20,121,43,11
437,30,50,37,45
438,40,82,3,5
439,40,52,1,5
440,10,57,15,20
441,20,51,22,10
442,30,73,17,1
443,30,88,8,9
444,40,71,10,6
445,20,98,18,3
446,30,36,5,19
447,30,64,19,6
448,20,36,25,11
449,20,49,12,21
450,40,36,23,19
451,30,103,21,12
452,30,59,11,8
453,20,45,10,26
454,10,68,49,10
455,20,30,14,12
456,30,36,9,39
457,30,54,13,25
458,30,71,23,10
459,40,27,12,22
460,30,32,12,26
461,20,55,24,20
462,20,90,49,9
463,30,151,23,3
464,20,83,12,12
465,20,225,16,13
466,20,56,10,7
467,40,110,6,12
468,40,76,17,11
469,40,77,45,14
470,20,69,6,21
471,30,134,12,11
472,20,104,33,16
473,40,80,29,16
474,20,58,20,21
475,30,22,18,21
476,10,79,26,44
477,30,42,17,59
478,30,66,64,32
479,10,101,16,21
480,30,56,25,41
481,20,16,20,43
482,30,58,63,73
483,30,32,13,22
484,20,38,20,13
485,20,53,18,19
486,20,30,4,2
487,10,44,12,21
488,20,14,29,19
489,20,61,14,10
490,40,43,16,6
491,30,60,19,17
492,30,74,11,8
493,0,149,60,4
494,30,132,30,22
495,10,1,9,53
496,10,110,13,24
497,20,48,16,20
498,20,88,17,23
499,0,125,2,0
500,30,177,43,9
501,20,24,7,45
502,10,88,45,34
503,20,10,0,33
504,10,111,18,22
505,60,91,3,1
506,10,184,42,9
507,20,59,21,9
508,30,144,11,11
509,20,57,11,17
510,10,119,21,34
511,10,72,2,3
512,20,97,11,5
513,40,50,4,6
514,20,28,14,14
515,40,51,9,12
516,40,145,11,9
517,30,81,11,11
518,10,88,20,21
519,20,96,23,21
520,20,74,15,21
521,20,76,14,23
522,20,49,22,16
523,20,44,4,15
524,20,61,7,7
525,20,34,8,13
526,20,60,11,6
527,20,42,18,11
528,30,25,3,4
529,20,57,19,14
530,20,77,19,18
531,20,38,21,57
532,20,62,39,54
533,20,19,12,43
534,10,113,28,20
535,40,99,15,19
536,40,51,25,16
537,30,95,38,36
538,40,124,15,13
539,10,124,11,39
540,20,112,15,33
541,10,209,9,13
542,10,133,13,27
543,40,74,19,29
544,10,63,33,24
545,20,24,8,34
546,30,82,10,27
547,10,56,26,12
548,20,31,10,19
